,Year,Recycling Rate,Municipality
3082,FY1999,10%,NEW BEDFORD
3083,FY1998,12%,NEW BEDFORD
3084,FY1997,14%,NEW BEDFORD
3085,CY2008,34%,NORTH ANDOVER
3086,CY2007,34%,NORTH ANDOVER
3087,CY2006,31%,NORTH ANDOVER
3088,CY2005,32%,NORTH ANDOVER
3089,CY2004,29%,NORTH ANDOVER
3090,CY2003,30%,NORTH ANDOVER
3091,CY2002,,NORTH ANDOVER
3092,FY2001,35%,NORTH ANDOVER
3093,FY2000,36%,NORTH ANDOVER
3094,FY1999,40%,NORTH ANDOVER
3095,FY1998,41%,NORTH ANDOVER
3096,FY1997,41%,NORTH ANDOVER
3097,CY2008,28%,NORWELL
3098,CY2007,32%,NORWELL
3099,CY2006,23%,NORWELL
3100,CY2005,28%,NORWELL
3101,CY2004,26%,NORWELL
3102,CY2003,26%,NORWELL
3103,CY2002,26%,NORWELL
3104,FY2001,29%,NORWELL
3105,FY2000,29%,NORWELL
3106,FY1999,28%,NORWELL
3107,FY1998,29%,NORWELL
3108,FY1997,52%,NORWELL
3109,CY2008,25%,PAXTON
3110,CY2007,32%,PAXTON
3111,CY2006,21%,PAXTON
3112,CY2005,,PAXTON
3113,CY2004,,PAXTON
3114,CY2003,,PAXTON
3115,CY2002,,PAXTON
3116,FY2001,12%,PAXTON
3117,FY2000,28%,PAXTON
3118,FY1999,29%,PAXTON
3119,FY1998,31%,PAXTON
3120,FY1997,31%,PAXTON
3121,CY2008,51%,PLAINFIELD
3122,CY2007,58%,PLAINFIELD
3123,CY2006,53%,PLAINFIELD
3124,CY2005,54%,PLAINFIELD
3125,CY2004,61%,PLAINFIELD
3126,CY2003,52%,PLAINFIELD
3127,CY2002,54%,PLAINFIELD
3128,FY2001,46%,PLAINFIELD
3129,FY2000,50%,PLAINFIELD
3130,FY1999,32%,PLAINFIELD
3131,FY1998,48%,PLAINFIELD
3132,FY1997,46%,PLAINFIELD
3133,CY2008,40%,READING
3134,CY2007,39%,READING
3135,CY2006,37%,READING
3136,CY2005,39%,READING
3137,CY2004,36%,READING
3138,CY2003,36%,READING
3139,CY2002,36%,READING
3140,FY2001,55%,READING
3141,FY2000,49%,READING
3142,FY1999,48%,READING
3143,FY1998,46%,READING
3144,FY1997,45%,READING
3145,CY2008,53%,ROYALSTON
3146,CY2007,47%,ROYALSTON
3147,CY2006,48%,ROYALSTON
3148,CY2005,57%,ROYALSTON
3149,CY2004,69%,ROYALSTON
3150,CY2003,51%,ROYALSTON
3151,CY2002,64%,ROYALSTON
3152,FY2001,40%,ROYALSTON
3153,FY2000,45%,ROYALSTON
3154,FY1999,52%,ROYALSTON
3155,FY1998,47%,ROYALSTON
3156,FY1997,44%,ROYALSTON
3157,CY2008,46%,SCITUATE
3158,CY2007,41%,SCITUATE
3159,CY2006,41%,SCITUATE
3160,CY2005,38%,SCITUATE
3161,CY2004,56%,SCITUATE
3162,CY2003,43%,SCITUATE
3163,CY2002,62%,SCITUATE
3164,FY2001,37%,SCITUATE
3165,FY2000,46%,SCITUATE
3166,FY1999,30%,SCITUATE
3167,FY1998,38%,SCITUATE
3168,FY1997,27%,SCITUATE
3169,CY2008,52%,SOMERSET
3170,CY2007,49%,SOMERSET
3171,CY2006,42%,SOMERSET
3172,CY2005,42%,SOMERSET
3173,CY2004,52%,SOMERSET
3174,CY2003,49%,SOMERSET
3175,CY2002,46%,SOMERSET
3176,FY2001,48%,SOMERSET
3177,FY2000,49%,SOMERSET
3178,FY1999,41%,SOMERSET
3179,FY1998,49%,SOMERSET
3180,FY1997,49%,SOMERSET
3181,CY2008,34%,STERLING
3182,CY2007,30%,STERLING
3183,CY2006,31%,STERLING
3184,CY2005,35%,STERLING
3185,CY2004,39%,STERLING
3186,CY2003,39%,STERLING
3187,CY2002,38%,STERLING
3188,FY2001,37%,STERLING
3189,FY2000,35%,STERLING
3190,FY1999,30%,STERLING
3191,FY1998,29%,STERLING
3192,FY1997,34%,STERLING
3193,CY2008,25%,SWAMPSCOTT
3194,CY2007,34%,SWAMPSCOTT
3195,CY2006,48%,SWAMPSCOTT
3196,CY2005,48%,SWAMPSCOTT
3197,CY2004,51%,SWAMPSCOTT
3198,CY2003,51%,SWAMPSCOTT
3199,CY2002,52%,SWAMPSCOTT
3200,FY2001,46%,SWAMPSCOTT
3201,FY2000,47%,SWAMPSCOTT
3202,FY1999,48%,SWAMPSCOTT
3203,FY1998,47%,SWAMPSCOTT
3204,FY1997,47%,SWAMPSCOTT
3205,CY2008,45%,TRURO
3206,CY2007,48%,TRURO
3207,CY2006,46%,TRURO
3208,CY2005,42%,TRURO
3209,CY2004,33%,TRURO
3210,CY2003,55%,TRURO
3211,CY2002,61%,TRURO
3212,FY2001,34%,TRURO
3213,FY2000,26%,TRURO
3214,FY1999,26%,TRURO
3215,FY1998,23%,TRURO
3216,FY1997,25%,TRURO
3217,CY2008,,WARE
3218,CY2007,,WARE
3219,CY2006,,WARE
3220,CY2005,,WARE
3221,CY2004,,WARE
3222,CY2003,,WARE
3223,CY2002,,WARE
3224,FY2001,,WARE
3225,FY2000,,WARE
3226,FY1999,,WARE
3227,FY1998,,WARE
3228,FY1997,,WARE
3229,CY2008,33%,WELLFLEET
3230,CY2007,23%,WELLFLEET
3231,CY2006,26%,WELLFLEET
3232,CY2005,28%,WELLFLEET
3233,CY2004,30%,WELLFLEET
3234,CY2003,,WELLFLEET
3235,CY2002,38%,WELLFLEET
3236,FY2001,34%,WELLFLEET
3237,FY2000,,WELLFLEET
3238,FY1999,26%,WELLFLEET
3239,FY1998,30%,WELLFLEET
3240,FY1997,32%,WELLFLEET
3241,CY2008,22%,WEST TISBURY
3242,CY2007,24%,WEST TISBURY
3243,CY2006,55%,WEST TISBURY
3244,CY2005,26%,WEST TISBURY
3245,CY2004,30%,WEST TISBURY
3246,CY2003,20%,WEST TISBURY
3247,CY2002,28%,WEST TISBURY
3248,FY2001,28%,WEST TISBURY
3249,FY2000,,WEST TISBURY
3250,FY1999,32%,WEST TISBURY
3251,FY1998,30%,WEST TISBURY
3252,FY1997,33%,WEST TISBURY
3253,CY2008,32%,WEYMOUTH
3254,CY2007,24%,WEYMOUTH
3255,CY2006,22%,WEYMOUTH
3256,CY2005,16%,WEYMOUTH
3257,CY2004,17%,WEYMOUTH
3258,CY2003,18%,WEYMOUTH
3259,CY2002,21%,WEYMOUTH
3260,FY2001,21%,WEYMOUTH
3261,FY2000,23%,WEYMOUTH
3262,FY1999,22%,WEYMOUTH
3263,FY1998,23%,WEYMOUTH
3264,FY1997,24%,WEYMOUTH
3265,CY2008,45%,WINDSOR
3266,CY2007,39%,WINDSOR
3267,CY2006,42%,WINDSOR
3268,CY2005,45%,WINDSOR
3269,CY2004,53%,WINDSOR
3270,CY2003,37%,WINDSOR
3271,CY2002,41%,WINDSOR
3272,FY2001,43%,WINDSOR
3273,FY2000,39%,WINDSOR
3274,FY1999,36%,WINDSOR
3275,FY1998,48%,WINDSOR
3276,FY1997,41%,WINDSOR
3277,CY2008,21%,ALFORD
3278,CY2007,30%,ALFORD
3279,CY2006,28%,ALFORD
3280,CY2005,26%,ALFORD
3281,CY2004,32%,ALFORD
3282,CY2003,32%,ALFORD
3283,CY2002,32%,ALFORD
3284,FY2001,14%,ALFORD
3285,FY2000,36%,ALFORD
3286,FY1999,15%,ALFORD
3287,FY1998,24%,ALFORD
3288,FY1997,45%,ALFORD
3289,CY2008,43%,ATHOL
3290,CY2007,,ATHOL
3291,CY2006,,ATHOL
3292,CY2005,18%,ATHOL
3293,CY2004,20%,ATHOL
3294,CY2003,19%,ATHOL
3295,CY2002,16%,ATHOL
3296,FY2001,,ATHOL
3297,FY2000,,ATHOL
3298,FY1999,,ATHOL
3299,FY1998,,ATHOL
3300,FY1997,,ATHOL
3301,CY2008,18%,BELCHERTOWN
3302,CY2007,23%,BELCHERTOWN
3303,CY2006,32%,BELCHERTOWN
3304,CY2005,23%,BELCHERTOWN
3305,CY2004,25%,BELCHERTOWN
3306,CY2003,17%,BELCHERTOWN
3307,CY2002,57%,BELCHERTOWN
3308,FY2001,46%,BELCHERTOWN
3309,FY2000,34%,BELCHERTOWN
3310,FY1999,49%,BELCHERTOWN
3311,FY1998,45%,BELCHERTOWN
3312,FY1997,67%,BELCHERTOWN
3313,CY2008,,BLANDFORD
3314,CY2007,29%,BLANDFORD
3315,CY2006,36%,BLANDFORD
3316,CY2005,18%,BLANDFORD
3317,CY2004,70%,BLANDFORD
3318,CY2003,70%,BLANDFORD
3319,CY2002,43%,BLANDFORD
3320,FY2001,,BLANDFORD
3321,FY2000,82%,BLANDFORD
3322,FY1999,43%,BLANDFORD
3323,FY1998,31%,BLANDFORD
3324,FY1997,,BLANDFORD
3325,CY2008,,BRIDGEWATER
3326,CY2007,20%,BRIDGEWATER
3327,CY2006,28%,BRIDGEWATER
3328,CY2005,27%,BRIDGEWATER
3329,CY2004,61%,BRIDGEWATER
3330,CY2003,38%,BRIDGEWATER
3331,CY2002,34%,BRIDGEWATER
3332,FY2001,,BRIDGEWATER
3333,FY2000,25%,BRIDGEWATER
3334,FY1999,,BRIDGEWATER
3335,FY1998,9%,BRIDGEWATER
3336,FY1997,33%,BRIDGEWATER
3337,CY2008,41%,CARLISLE
3338,CY2007,36%,CARLISLE
3339,CY2006,35%,CARLISLE
3340,CY2005,35%,CARLISLE
3341,CY2004,35%,CARLISLE
3342,CY2003,32%,CARLISLE
3343,CY2002,33%,CARLISLE
3344,FY2001,27%,CARLISLE
3345,FY2000,33%,CARLISLE
3346,FY1999,42%,CARLISLE
3347,FY1998,37%,CARLISLE
3348,FY1997,39%,CARLISLE
3349,CY2008,51%,CHESTERFIELD
3350,CY2007,51%,CHESTERFIELD
3351,CY2006,51%,CHESTERFIELD
3352,CY2005,52%,CHESTERFIELD
3353,CY2004,57%,CHESTERFIELD
3354,CY2003,52%,CHESTERFIELD
3355,CY2002,55%,CHESTERFIELD
3356,FY2001,46%,CHESTERFIELD
3357,FY2000,,CHESTERFIELD
3358,FY1999,49%,CHESTERFIELD
3359,FY1998,42%,CHESTERFIELD
3360,FY1997,39%,CHESTERFIELD
3361,CY2008,43%,CUMMINGTON
3362,CY2007,41%,CUMMINGTON
3363,CY2006,27%,CUMMINGTON
3364,CY2005,39%,CUMMINGTON
3365,CY2004,43%,CUMMINGTON
3366,CY2003,39%,CUMMINGTON
3367,CY2002,48%,CUMMINGTON
3368,FY2001,38%,CUMMINGTON
3369,FY2000,28%,CUMMINGTON
3370,FY1999,25%,CUMMINGTON
3371,FY1998,27%,CUMMINGTON
3372,FY1997,26%,CUMMINGTON
3373,CY2008,35%,DOVER
3374,CY2007,33%,DOVER
3375,CY2006,32%,DOVER
3376,CY2005,33%,DOVER
3377,CY2004,,DOVER
3378,CY2003,32%,DOVER
3379,CY2002,31%,DOVER
3380,FY2001,29%,DOVER
3381,FY2000,32%,DOVER
3382,FY1999,32%,DOVER
3383,FY1998,32%,DOVER
3384,FY1997,29%,DOVER
3385,CY2008,9%,EASTHAMPTON
3386,CY2007,5%,EASTHAMPTON
3387,CY2006,,EASTHAMPTON
3388,CY2005,,EASTHAMPTON
3389,CY2004,,EASTHAMPTON
3390,CY2003,,EASTHAMPTON
3391,CY2002,20%,EASTHAMPTON
3392,FY2001,42%,EASTHAMPTON
3393,FY2000,32%,EASTHAMPTON
3394,FY1999,40%,EASTHAMPTON
3395,FY1998,40%,EASTHAMPTON
3396,FY1997,41%,EASTHAMPTON
3397,CY2008,37%,FALMOUTH
3398,CY2007,48%,FALMOUTH
3399,CY2006,42%,FALMOUTH
3400,CY2005,42%,FALMOUTH
3401,CY2004,42%,FALMOUTH
3402,CY2003,43%,FALMOUTH
3403,CY2002,46%,FALMOUTH
3404,FY2001,45%,FALMOUTH
3405,FY2000,38%,FALMOUTH
3406,FY1999,40%,FALMOUTH
3407,FY1998,37%,FALMOUTH
3408,FY1997,43%,FALMOUTH
3409,CY2008,,GEORGETOWN
3410,CY2007,,GEORGETOWN
3411,CY2006,,GEORGETOWN
3412,CY2005,,GEORGETOWN
3413,CY2004,,GEORGETOWN
3414,CY2003,,GEORGETOWN
3415,CY2002,,GEORGETOWN
3416,FY2001,,GEORGETOWN
3417,FY2000,17%,GEORGETOWN
3418,FY1999,,GEORGETOWN
3419,FY1998,13%,GEORGETOWN
3420,FY1997,13%,GEORGETOWN
3421,CY2008,41%,GREENFIELD
3422,CY2007,42%,GREENFIELD
3423,CY2006,42%,GREENFIELD
3424,CY2005,37%,GREENFIELD
3425,CY2004,34%,GREENFIELD
3426,CY2003,32%,GREENFIELD
3427,CY2002,34%,GREENFIELD
3428,FY2001,29%,GREENFIELD
3429,FY2000,37%,GREENFIELD
3430,FY1999,34%,GREENFIELD
3431,FY1998,37%,GREENFIELD
3432,FY1997,33%,GREENFIELD
3433,CY2008,28%,HANSON
3434,CY2007,14%,HANSON
3435,CY2006,13%,HANSON
3436,CY2005,8%,HANSON
3437,CY2004,9%,HANSON
3438,CY2003,9%,HANSON
3439,CY2002,12%,HANSON
3440,FY2001,9%,HANSON
3441,FY2000,,HANSON
3442,FY1999,,HANSON
3443,FY1998,,HANSON
3444,FY1997,9%,HANSON
3445,CY2008,31%,HINSDALE
3446,CY2007,29%,HINSDALE
3447,CY2006,31%,HINSDALE
3448,CY2005,26%,HINSDALE
3449,CY2004,53%,HINSDALE
3450,CY2003,43%,HINSDALE
3451,CY2002,34%,HINSDALE
3452,FY2001,46%,HINSDALE
3453,FY2000,38%,HINSDALE
3454,FY1999,19%,HINSDALE
3455,FY1998,20%,HINSDALE
3456,FY1997,26%,HINSDALE
3457,CY2008,27%,HUDSON
3458,CY2007,23%,HUDSON
3459,CY2006,32%,HUDSON
3460,CY2005,27%,HUDSON
3461,CY2004,,HUDSON
3462,CY2003,23%,HUDSON
3463,CY2002,,HUDSON
3464,FY2001,,HUDSON
3465,FY2000,,HUDSON
3466,FY1999,,HUDSON
3467,FY1998,29%,HUDSON
3468,FY1997,29%,HUDSON
3469,CY2008,20%,LEE
3470,CY2007,21%,LEE
3471,CY2006,26%,LEE
3472,CY2005,27%,LEE
3473,CY2004,34%,LEE
3474,CY2003,31%,LEE
3475,CY2002,28%,LEE
3476,FY2001,27%,LEE
3477,FY2000,27%,LEE
3478,FY1999,49%,LEE
3479,FY1998,47%,LEE
3480,FY1997,19%,LEE
3481,CY2008,58%,LONGMEADOW
3482,CY2007,55%,LONGMEADOW
3483,CY2006,54%,LONGMEADOW
3484,CY2005,54%,LONGMEADOW
3485,CY2004,50%,LONGMEADOW
3486,CY2003,53%,LONGMEADOW
3487,CY2002,56%,LONGMEADOW
3488,FY2001,63%,LONGMEADOW
3489,FY2000,66%,LONGMEADOW
3490,FY1999,62%,LONGMEADOW
3491,FY1998,55%,LONGMEADOW
3492,FY1997,58%,LONGMEADOW
3493,CY2008,37%,MARBLEHEAD
3494,CY2007,35%,MARBLEHEAD
3495,CY2006,47%,MARBLEHEAD
3496,CY2005,51%,MARBLEHEAD
3497,CY2004,,MARBLEHEAD
3498,CY2003,51%,MARBLEHEAD
3499,CY2002,57%,MARBLEHEAD
3500,FY2001,46%,MARBLEHEAD
3501,FY2000,50%,MARBLEHEAD
3502,FY1999,51%,MARBLEHEAD
3503,FY1998,35%,MARBLEHEAD
3504,FY1997,35%,MARBLEHEAD
3505,CY2008,52%,MEDWAY
3506,CY2007,49%,MEDWAY
3507,CY2006,49%,MEDWAY
3508,CY2005,46%,MEDWAY
3509,CY2004,41%,MEDWAY
3510,CY2003,43%,MEDWAY
3511,CY2002,45%,MEDWAY
3512,FY2001,58%,MEDWAY
3513,FY2000,44%,MEDWAY
3514,FY1999,46%,MEDWAY
3515,FY1998,44%,MEDWAY
3516,FY1997,45%,MEDWAY
3517,CY2008,14%,MILLBURY
3518,CY2007,18%,MILLBURY
3519,CY2006,32%,MILLBURY
3520,CY2005,18%,MILLBURY
3521,CY2004,,MILLBURY
3522,CY2003,,MILLBURY
3523,CY2002,,MILLBURY
3524,FY2001,42%,MILLBURY
3525,FY2000,,MILLBURY
3526,FY1999,27%,MILLBURY
3527,FY1998,30%,MILLBURY
3528,FY1997,24%,MILLBURY
3529,CY2008,,MOUNT WASHINGTON
3530,CY2007,,MOUNT WASHINGTON
3531,CY2006,35%,MOUNT WASHINGTON
3532,CY2005,,MOUNT WASHINGTON
3533,CY2004,,MOUNT WASHINGTON
3534,CY2003,,MOUNT WASHINGTON
3535,CY2002,30%,MOUNT WASHINGTON
3536,FY2001,35%,MOUNT WASHINGTON
3537,FY2000,44%,MOUNT WASHINGTON
3538,FY1999,39%,MOUNT WASHINGTON
3539,FY1998,43%,MOUNT WASHINGTON
3540,FY1997,35%,MOUNT WASHINGTON
3541,CY2008,33%,NEW SALEM
3542,CY2007,46%,NEW SALEM
3543,CY2006,44%,NEW SALEM
3544,CY2005,46%,NEW SALEM
3545,CY2004,47%,NEW SALEM
3546,CY2003,46%,NEW SALEM
3547,CY2002,47%,NEW SALEM
3548,FY2001,50%,NEW SALEM
3549,FY2000,47%,NEW SALEM
3550,FY1999,45%,NEW SALEM
3551,FY1998,42%,NEW SALEM
3552,FY1997,35%,NEW SALEM
3553,CY2008,30%,NORTH READING
3554,CY2007,32%,NORTH READING
3555,CY2006,18%,NORTH READING
3556,CY2005,16%,NORTH READING
3557,CY2004,16%,NORTH READING
3558,CY2003,17%,NORTH READING
3559,CY2002,,NORTH READING
3560,FY2001,,NORTH READING
3561,FY2000,17%,NORTH READING
3562,FY1999,18%,NORTH READING
3563,FY1998,25%,NORTH READING
3564,FY1997,23%,NORTH READING
3565,CY2008,,OAKHAM
3566,CY2007,,OAKHAM
3567,CY2006,,OAKHAM
3568,CY2005,,OAKHAM
3569,CY2004,,OAKHAM
3570,CY2003,,OAKHAM
3571,CY2002,,OAKHAM
3572,FY2001,,OAKHAM
3573,FY2000,,OAKHAM
3574,FY1999,,OAKHAM
3575,FY1998,,OAKHAM
3576,FY1997,,OAKHAM
3577,CY2008,15%,PEMBROKE
3578,CY2007,20%,PEMBROKE
3579,CY2006,20%,PEMBROKE
3580,CY2005,20%,PEMBROKE
3581,CY2004,,PEMBROKE
3582,CY2003,20%,PEMBROKE
3583,CY2002,26%,PEMBROKE
3584,FY2001,,PEMBROKE
3585,FY2000,22%,PEMBROKE
3586,FY1999,21%,PEMBROKE
3587,FY1998,22%,PEMBROKE
3588,FY1997,15%,PEMBROKE
3589,CY2008,20%,PLYMPTON
3590,CY2007,,PLYMPTON
3591,CY2006,,PLYMPTON
3592,CY2005,,PLYMPTON
3593,CY2004,,PLYMPTON
3594,CY2003,31%,PLYMPTON
3595,CY2002,,PLYMPTON
3596,FY2001,45%,PLYMPTON
3597,FY2000,30%,PLYMPTON
3598,FY1999,,PLYMPTON
3599,FY1998,,PLYMPTON
3600,FY1997,17%,PLYMPTON
3601,CY2008,34%,RICHMOND
3602,CY2007,28%,RICHMOND
3603,CY2006,30%,RICHMOND
3604,CY2005,32%,RICHMOND
3605,CY2004,45%,RICHMOND
3606,CY2003,32%,RICHMOND
3607,CY2002,35%,RICHMOND
3608,FY2001,27%,RICHMOND
3609,FY2000,,RICHMOND
3610,FY1999,7%,RICHMOND
3611,FY1998,,RICHMOND
3612,FY1997,37%,RICHMOND
3613,CY2008,19%,SALEM
3614,CY2007,20%,SALEM
3615,CY2006,22%,SALEM
3616,CY2005,11%,SALEM
3617,CY2004,22%,SALEM
3618,CY2003,14%,SALEM
3619,CY2002,30%,SALEM
3620,FY2001,33%,SALEM
3621,FY2000,18%,SALEM
3622,FY1999,34%,SALEM
3623,FY1998,34%,SALEM
3624,FY1997,33%,SALEM
3625,CY2008,34%,SHEFFIELD
3626,CY2007,35%,SHEFFIELD
3627,CY2006,35%,SHEFFIELD
3628,CY2005,39%,SHEFFIELD
3629,CY2004,45%,SHEFFIELD
3630,CY2003,42%,SHEFFIELD
3631,CY2002,51%,SHEFFIELD
3632,FY2001,29%,SHEFFIELD
3633,FY2000,31%,SHEFFIELD
3634,FY1999,55%,SHEFFIELD
3635,FY1998,41%,SHEFFIELD
3636,FY1997,33%,SHEFFIELD
3637,CY2008,87%,SOUTHAMPTON
3638,CY2007,64%,SOUTHAMPTON
3639,CY2006,59%,SOUTHAMPTON
3640,CY2005,56%,SOUTHAMPTON
3641,CY2004,69%,SOUTHAMPTON
3642,CY2003,74%,SOUTHAMPTON
3643,CY2002,79%,SOUTHAMPTON
3644,FY2001,77%,SOUTHAMPTON
3645,FY2000,68%,SOUTHAMPTON
3646,FY1999,68%,SOUTHAMPTON
3647,FY1998,67%,SOUTHAMPTON
3648,FY1997,66%,SOUTHAMPTON
3649,CY2008,26%,STOUGHTON
3650,CY2007,25%,STOUGHTON
3651,CY2006,28%,STOUGHTON
3652,CY2005,31%,STOUGHTON
3653,CY2004,27%,STOUGHTON
3654,CY2003,,STOUGHTON
3655,CY2002,30%,STOUGHTON
3656,FY2001,30%,STOUGHTON
3657,FY2000,31%,STOUGHTON
3658,FY1999,32%,STOUGHTON
3659,FY1998,29%,STOUGHTON
3660,FY1997,27%,STOUGHTON
3661,CY2008,28%,TEMPLETON
3662,CY2007,11%,TEMPLETON
3663,CY2006,,TEMPLETON
3664,CY2005,27%,TEMPLETON
3665,CY2004,15%,TEMPLETON
3666,CY2003,16%,TEMPLETON
3667,CY2002,14%,TEMPLETON
3668,FY2001,24%,TEMPLETON
3669,FY2000,,TEMPLETON
3670,FY1999,27%,TEMPLETON
3671,FY1998,,TEMPLETON
3672,FY1997,23%,TEMPLETON
3673,CY2008,,UPTON
3674,CY2007,24%,UPTON
3675,CY2006,28%,UPTON
3676,CY2005,35%,UPTON
3677,CY2004,36%,UPTON
3678,CY2003,37%,UPTON
3679,CY2002,39%,UPTON
3680,FY2001,33%,UPTON
3681,FY2000,,UPTON
3682,FY1999,16%,UPTON
3683,FY1998,17%,UPTON
3684,FY1997,32%,UPTON
3685,CY2008,46%,WARWICK
3686,CY2007,41%,WARWICK
3687,CY2006,43%,WARWICK
3688,CY2005,46%,WARWICK
3689,CY2004,46%,WARWICK
3690,CY2003,42%,WARWICK
3691,CY2002,51%,WARWICK
3692,FY2001,56%,WARWICK
3693,FY2000,63%,WARWICK
3694,FY1999,44%,WARWICK
3695,FY1998,45%,WARWICK
3696,FY1997,22%,WARWICK
3697,CY2008,23%,WEST BOYLSTON
3698,CY2007,22%,WEST BOYLSTON
3699,CY2006,23%,WEST BOYLSTON
3700,CY2005,23%,WEST BOYLSTON
3701,CY2004,35%,WEST BOYLSTON
3702,CY2003,42%,WEST BOYLSTON
3703,CY2002,33%,WEST BOYLSTON
3704,FY2001,25%,WEST BOYLSTON
3705,FY2000,32%,WEST BOYLSTON
3706,FY1999,34%,WEST BOYLSTON
3707,FY1998,33%,WEST BOYLSTON
3708,FY1997,32%,WEST BOYLSTON
3709,CY2008,34%,WESTFORD
3710,CY2007,21%,WESTFORD
3711,CY2006,22%,WESTFORD
3712,CY2005,30%,WESTFORD
3713,CY2004,24%,WESTFORD
3714,CY2003,34%,WESTFORD
3715,CY2002,34%,WESTFORD
3716,FY2001,33%,WESTFORD
3717,FY2000,30%,WESTFORD
3718,FY1999,31%,WESTFORD
3719,FY1998,33%,WESTFORD
3720,FY1997,52%,WESTFORD
3721,CY2008,43%,WILBRAHAM
3722,CY2007,33%,WILBRAHAM
3723,CY2006,33%,WILBRAHAM
3724,CY2005,49%,WILBRAHAM
3725,CY2004,54%,WILBRAHAM
3726,CY2003,67%,WILBRAHAM
3727,CY2002,57%,WILBRAHAM
3728,FY2001,33%,WILBRAHAM
3729,FY2000,21%,WILBRAHAM
3730,FY1999,39%,WILBRAHAM
3731,FY1998,37%,WILBRAHAM
3732,FY1997,41%,WILBRAHAM
3733,CY2008,43%,WORCESTER
3734,CY2007,41%,WORCESTER
3735,CY2006,44%,WORCESTER
3736,CY2005,49%,WORCESTER
3737,CY2004,46%,WORCESTER
3738,CY2003,49%,WORCESTER
3739,CY2002,47%,WORCESTER
3740,FY2001,48%,WORCESTER
3741,FY2000,51%,WORCESTER
3742,FY1999,52%,WORCESTER
3743,FY1998,57%,WORCESTER
3744,FY1997,54%,WORCESTER
3745,CY2008,47%,ANDOVER
3746,CY2007,43%,ANDOVER
3747,CY2006,36%,ANDOVER
3748,CY2005,45%,ANDOVER
3749,CY2004,41%,ANDOVER
3750,CY2003,30%,ANDOVER
3751,CY2002,35%,ANDOVER
3752,FY2001,34%,ANDOVER
3753,FY2000,32%,ANDOVER
3754,FY1999,32%,ANDOVER
3755,FY1998,31%,ANDOVER
3756,FY1997,32%,ANDOVER
3757,CY2008,,AVON
3758,CY2007,14%,AVON
3759,CY2006,24%,AVON
3760,CY2005,24%,AVON
3761,CY2004,21%,AVON
3762,CY2003,21%,AVON
3763,CY2002,21%,AVON
3764,FY2001,,AVON
3765,FY2000,,AVON
3766,FY1999,15%,AVON
3767,FY1998,15%,AVON
3768,FY1997,15%,AVON
3769,CY2008,13%,BERKLEY
3770,CY2007,16%,BERKLEY
3771,CY2006,19%,BERKLEY
3772,CY2005,29%,BERKLEY
3773,CY2004,30%,BERKLEY
3774,CY2003,36%,BERKLEY
3775,CY2002,33%,BERKLEY
3776,FY2001,49%,BERKLEY
3777,FY2000,51%,BERKLEY
3778,FY1999,58%,BERKLEY
3779,FY1998,39%,BERKLEY
3780,FY1997,34%,BERKLEY
3781,CY2008,30%,BOURNE
3782,CY2007,35%,BOURNE
3783,CY2006,33%,BOURNE
3784,CY2005,41%,BOURNE
3785,CY2004,41%,BOURNE
3786,CY2003,39%,BOURNE
3787,CY2002,40%,BOURNE
3788,FY2001,44%,BOURNE
3789,FY2000,45%,BOURNE
3790,FY1999,43%,BOURNE
3791,FY1998,43%,BOURNE
3792,FY1997,35%,BOURNE
3793,CY2008,14%,BROOKFIELD
3794,CY2007,14%,BROOKFIELD
3795,CY2006,9%,BROOKFIELD
3796,CY2005,25%,BROOKFIELD
3797,CY2004,33%,BROOKFIELD
3798,CY2003,26%,BROOKFIELD
3799,CY2002,45%,BROOKFIELD
3800,FY2001,48%,BROOKFIELD
3801,FY2000,48%,BROOKFIELD
3802,FY1999,52%,BROOKFIELD
3803,FY1998,30%,BROOKFIELD
3804,FY1997,28%,BROOKFIELD
3805,CY2008,12%,CHARLTON
3806,CY2007,8%,CHARLTON
3807,CY2006,,CHARLTON
3808,CY2005,,CHARLTON
3809,CY2004,,CHARLTON
3810,CY2003,,CHARLTON
3811,CY2002,,CHARLTON
3812,FY2001,,CHARLTON
3813,FY2000,,CHARLTON
3814,FY1999,,CHARLTON
3815,FY1998,,CHARLTON
3816,FY1997,,CHARLTON
3817,CY2008,,CLARKSBURG
3818,CY2007,,CLARKSBURG
3819,CY2006,,CLARKSBURG
3820,CY2005,,CLARKSBURG
3821,CY2004,,CLARKSBURG
3822,CY2003,,CLARKSBURG
3823,CY2002,,CLARKSBURG
3824,FY2001,22%,CLARKSBURG
3825,FY2000,,CLARKSBURG
3826,FY1999,,CLARKSBURG
3827,FY1998,28%,CLARKSBURG
3828,FY1997,,CLARKSBURG
3829,CY2008,32%,DARTMOUTH
3830,CY2007,26%,DARTMOUTH
3831,CY2006,31%,DARTMOUTH
3832,CY2005,30%,DARTMOUTH
3833,CY2004,30%,DARTMOUTH
3834,CY2003,30%,DARTMOUTH
3835,CY2002,17%,DARTMOUTH
3836,FY2001,31%,DARTMOUTH
3837,FY2000,30%,DARTMOUTH
3838,FY1999,32%,DARTMOUTH
3839,FY1998,28%,DARTMOUTH
3840,FY1997,24%,DARTMOUTH
3841,CY2008,30%,DUNSTABLE
3842,CY2007,31%,DUNSTABLE
3843,CY2006,32%,DUNSTABLE
3844,CY2005,35%,DUNSTABLE
3845,CY2004,30%,DUNSTABLE
